Chain,Store Number,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
Sheetz,60,40.007361,-79.083031,1,rooftop,301,W Patriot St,Somerset,PA,Somerset County,15501,US,Somerset
Sheetz,421,40.058582,-76.318368,1,rooftop,1160,Manheim Pike,Lancaster,PA,Lancaster County,17601,US,Lancaster
Wawa,948,39.960856,-74.391584,1,rooftop,1180,State Highway 70,Whiting,NJ,Ocean County,08759,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,5201,27.623115,-80.389015,1,rooftop,1190,Us Highway 1,Vero Beach,FL,Indian River County,32960,US, Loveland
Wawa,911,40.43335,-74.182068,1,rooftop,1181,State Highway 36,Hazlet,NJ,Monmouth County,07730,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,5264,30.286413,-81.509672,1,rooftop,11812,Beach Blvd,Jacksonville,FL,Duval County,32224,US,Duval
Sheetz,179,40.021214,-79.077711,1,rooftop,1177,N Center Ave,Somerset,PA,Somerset County,15501,US,Somerset
Wawa,8018,40.269052,-75.254682,0.98,nearest_street,1941,Walnut St,Colmar,PA,Montgomery County,18915,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,493,36.394809,-80.72184,1,rooftop,201,S Main St,Dobson,NC,Surry County,27017,US,NC Geographic Information Coordinating Council
Wawa,8112,39.951848,-75.159471,1,rooftop,1150-98,Market St,Philadelphia,PA,Philadelphia County,19107,US,Philadelphia
Sheetz,199,39.823282,-76.997212,1,rooftop,1191,Carlisle St,Hanover,PA,York County,17331,US,York
Wawa,81,39.990711,-75.615829,1,rooftop,1195,Pottstown Park,West Chester,PA,Chester County,19380,US,Chester
Wawa,8033,40.047626,-75.662854,1,rooftop,551,W Uwchlan Ave,Downingtown,PA,Chester County,19335,US,Chester
Wawa,5287,29.209793,-81.022723,1,rooftop,120,S Ridgewood Ave,Daytona Beach,FL,Volusia County,32114,US,Volusia
Wawa,8024,40.132091,-75.537141,1,rooftop,120,Schuylkill Rd,Phoenixville,PA,Chester County,19460,US,Chester
Sheetz,475,40.784192,-77.831755,1,rooftop,120,Southridge Plz,State College,PA,Centre County,16801,US,Centre
Wawa,8636,36.827446,-76.339901,0.99,rooftop,3109,Scott St,Portsmouth,VA,Portsmouth city,23707,US,Virginia Geographic Information Network (VGIN)
Sheetz,581,41.773269,-76.416547,0.96,nearest_street,5675,T617,Wysox,PA,Bradford County,18854,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,8357,40.228197,-74.665123,1,rooftop,1170,State Highway 33,Trenton,NJ,Mercer County,08690,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,5150,28.552699,-81.396352,1,rooftop,1200,W Colonial Dr,Orlando,FL,Orange County,32804,US,Orange County
Sheetz,277,40.634078,-80.059311,1,rooftop,12000,Perry Hwy,Wexford,PA,Allegheny County,15090,US,Allegheny
Wawa,566,38.426355,-75.056563,1,rooftop,12001,Coastal Hwy,Ocean City,MD,Worcester County,21842,US,Statewide
Wawa,657,37.40504,-77.665047,1,rooftop,12001,Southshore Pointe Dr,Midlothian,VA,Chesterfield County,23112,US,Virginia Geographic Information Network (VGIN)
Wawa,8110,40.106918,-75.000248,1,rooftop,12004,E Roosevelt Blv,Philadelphia,PA,Philadelphia County,19116,US,Philadelphia
Wawa,371,39.625434,-74.342457,1,rooftop,1201,County Route 539,Tuckerton,NJ,Ocean County,08087,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,415,35.583119,-77.311071,1,rooftop,1201,Portertown Rd,Greenville,NC,Pitt County,27858,US,Pitt
Wawa,5206,28.527966,-81.309865,1,rooftop,1201,S Semoran Blvd,Orlando,FL,Orange County,32807,US,Orange County
Wawa,5334,28.189648,-82.616236,1,rooftop,12048,State Road 54,Odessa,FL,Pasco County,33556,US,Pasco
Sheetz,614,40.139392,-76.382154,1,rooftop,1205,Lancaster Rd,Manheim,PA,Lancaster County,17545,US,Lancaster
Wawa,5155,28.390485,-81.405074,1,rooftop,2004,Pepper Mill Blvd,Orlando,FL,Orange County,32837,US,Orange County
Wawa,8631,37.100486,-76.492317,1,rooftop,12093,Jefferson Ave,Newport News,VA,Newport News city,23606,US,City of Newport News
Wawa,470,39.190309,-74.821072,1,rooftop,1180,Nj Rt 47 Hwy,Woodbine,NJ,Cape May County,08270,US,Cape May
Sheetz,317,41.119629,-81.485006,1,rooftop,1210,Main St,Cuyahoga Falls,OH,Summit County,44221,US,Summit
Sheetz,300,37.283169,-79.933345,1,rooftop,1304,Williamson Rd NE,Roanoke,VA,Roanoke County,24012,US,Virginia Geographic Information Network (VGIN)
Wawa,5176,27.928692,-82.788233,1,rooftop,1215,N Missouri Ave,Largo,FL,Pinellas County,33770,US,Pinellas
Sheetz,182,39.300236,-80.276881,1,rooftop,1220,Johnson Ave,Bridgeport,WV,Harrison County,26330,US,Statewide
Wawa,6003,38.905872,-77.063187,1,rooftop,1222,Wisconsin Ave NW,Washington,DC,District of Columbia,20007,US,City of Washington
Sheetz,261,37.305203,-79.307637,1,rooftop,12259,E Lynchburg Salem Tpke,Forest,VA,Bedford County,24551,US,Virginia Geographic Information Network (VGIN)
Sheetz,411,35.995099,-80.266911,1,rooftop,12292,N Nc Hwy 150,Winston Salem,NC,Davidson County,27127,US,Davidson
